coursecode,name,department,prereqcode,coreqcode
CIS 4715,CS Teaching & Learning,Computer & Info. Science & Eng.,COP 3504C,
CIS 4905,Individual Study in CISE,Computer & Info. Science & Eng.,COP 3502C,
CIS 4912C,Integrated Product and Process Design 1,Computer & Info. Science & Eng.,CDA 3101; COP 3530; COT 3100,
CIS 4913C,Integrated Product and Process Design 2,Computer & Info. Science & Eng.,CIS 4912C,
CIS 4914,Senior Project,Computer & Info. Science & Eng.,,
CIS 4930,Special Topics in CISE,Computer & Info. Science & Eng.,COP 3503C; COP 3504C,
CIS 4940,Practical Work,Computer & Info. Science & Eng.,COP 3502C,
CIS 4949,Co-Op Work in CISE,Computer & Info. Science & Eng.,COP 3502C,
CIS 4956,Overseas Studies 1,Computer & Info. Science & Eng.,COP 3502C,
CNT 4007,Computer Network Fundamentals,Computer & Info. Science & Eng.,COP 3530,COP 4600
CNT 4520,Introduction to Mobile Networking,Computer & Info. Science & Eng.,COP 3502C; COP 3503C,
CNT 4731,Multimedia Networking Principles,Computer & Info. Science & Eng.,CNT 4007,
COP 2271,Computer Programming for Engineers,Computer & Info. Science & Eng.,MAC 2312,
COP 2271L,Computer Programming for Engineers Laboratory,Industrial & Systems Engineering,MAC 2312,COP 2271
COP 2273,Python Programming for Engineers,Engineering (General),MAC 2311,
COP 2274,C++ Programming for Engineers,Engineering (General),,MAC 2311
COP 2800,Computer Programming Using JAVA,Computer & Info. Science & Eng.,MAC 1147,
COP 3013,Programming Language Survey,Computer & Info. Science & Eng.,MAC 1147; COP 3502C,
COP 3275,Computer Programming Using C,Computer & Info. Science & Eng.,MAC 1147,
COP 3502C,Programming Fundamentals 1,Computer & Info. Science & Eng.,,MAC 2311
COP 3503C,Programming Fundamentals 2,Computer & Info. Science & Eng.,COP 3502C; MAC 2311,
COP 3504C,Advanced Programming Fundamentals for CIS Majors,Computer & Info. Science & Eng.,MAC 2311; MAC 3472,
